method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,410,4.1,0.17950902122969137,641.0,0.06390862259266021,356.0,356.18286106567984,0.034478700671200596,0.8955644726925642,0.44493176471329754
gl6,0.01,5,415,4.15,0.18294871115777084,634.0,0.07320653719269059,351.0,350.463884790659,0.03808253633407937,0.8530608280058055,0.5218114829342582
gl6,0.01,5,420,4.2,0.1790538463229813,630.0,0.0647813675049889,345.0,344.75487731081535,0.03108110209528239,0.9081652736066234,0.41861179607723326
gl6,0.01,5,425,4.25,0.1779534795138115,627.0,0.09715829541574027,529.0,527.9650108110466,0.061556464443106494,0.8782104270172421,0.4782744461898349
gl6,0.01,5,430,4.3,0.1706202568319702,619.0,0.03884192253573799,628.0,624.8313005948537,0.09449621219409195,0.9078562684470952,0.4192815233722042
gl6,0.01,5,435,4.3500000000000005,0.19511089554147015,616.0,0.07856892461792762,412.0,410.095726155105,0.05613628433564941,0.8625879346232835,0.5059071604971986
gl6,0.01,5,440,4.4,0.1602407454997174,609.0,0.04440813932594473,637.0,632.5000536477489,0.054300570763742874,0.8779875155486647,0.47868353067625247
gl6,0.01,5,445,4.45,0.1951011420558373,605.0,0.05935982442916299,634.0,634.8246457516202,0.06636342779483514,0.8161316050989059,0.5778660771828401
gl6,0.01,5,450,4.5,0.18205245004658918,601.0,0.04809158571780892,545.0,547.4374933897248,0.08769382818471101,0.8166288815201646,0.577163122407457
gl6,0.01,5,455,4.55,0.16650932824550616,594.0,0.08396159910890233,638.0,638.6330290393923,0.06230368957205648,0.8175764564362762,0.5758200568590001
gl6,0.01,5,460,4.6000000000000005,0.17759659645520648,591.0,0.07046326382390615,641.0,640.4296093574119,0.05937447831595705,0.8572530397737298,0.5148953542213213
gl6,0.01,5,465,4.65,0.19362899461669814,587.0,0.11506350300543274,533.0,531.6292737126842,0.07905928467034617,0.8742871367474545,0.4854091084002625
gl6,0.01,5,470,4.7,0.18674211972297822,584.0,0.06556192669242782,291.0,289.9895087034897,0.03422208444108923,0.8965925683545711,0.44285637216975166
gl6,0.01,5,475,4.75,0.16964138753913413,580.0,0.07984691493620989,653.0,652.7143268589161,0.0594847813277198,0.8812711140656031,0.47261107002859193
gl6,0.01,5,480,4.8,0.17902077097064342,573.0,0.0583889276677582,652.0,654.5239316714978,0.05740314632333815,0.8892194819016528,0.4574808334854656
gl6,0.01,5,485,4.8500000000000005,0.1900550360217515,570.0,0.1900550360217515,570.0,569.4154046508002,0.10907525486819378,0.8460115248236201,0.5331646086018965
gl6,0.01,5,490,4.9,0.17933615315348653,566.0,0.05803064558830065,650.0,648.22972411309,0.05788489483615603,0.8736813245974758,0.4864986567808798
gl6,0.01,5,495,4.95,0.1964097207788137,563.0,0.07182122541275404,263.0,263.3320344044157,0.038614149654779086,0.8516741827774892,0.5240716424214308
gl6,0.01,5,500,5.0,0.1752449099408388,560.0,0.040956212520252944,649.0,651.8217130138414,0.05542952106104247,0.8803238733624219,0.47437314214464377
gl6,0.01,5,505,5.05,0.16043793294436925,556.0,0.08616112010705188,667.0,665.4071013324174,0.07031495374891919,0.8626721393213529,0.5057635613987238
gl6,0.01,5,510,5.1000000000000005,0.18067190761112537,549.0,0.11889007011674817,464.0,463.8370822352547,0.06686600520841819,0.8574853601902346,0.5145083644212441
gl6,0.01,5,515,5.15,0.18171165620319787,545.0,0.0950557743350872,664.0,663.977202503431,0.07626607660544252,0.859149015907595,0.5117254815474909
gl6,0.01,5,520,5.2,0.1853786299827473,542.0,0.10431185218595652,667.0,667.5207152104877,0.08211509850168103,0.83467748751478,0.550739041503337
gl6,0.01,5,525,5.25,0.16120302378291468,535.0,0.09132197920674459,671.0,670.9078606956593,0.07284047171923992,0.8531963813901854,0.5215898146845788
gl6,0.01,5,530,5.3,0.20008059919230706,531.0,0.10222111508871785,667.0,666.5421226878054,0.0732944021259954,0.8424204718127003,0.5388207017838749
gl6,0.01,5,535,5.3500000000000005,0.16420889224708424,528.0,0.0878213822160322,670.0,669.7411664451072,0.07218421412140635,0.882119650205754,0.47102539498510904
