case,cell,time,q,q_gauge,hp_edge
h0.01_k5_max,69,0.6900000000000001,-0.0011399052746350832,0.0011399052746350832,0.023951825541560952
h0.01_k5_max,70,0.7000000000000001,-0.0022519387711366344,-0.0022519387711366344,0.023739608246425018
h0.01_k5_max,71,0.71,0.0017256583316203865,-0.0017256583316203865,0.023897639083701103
h0.01_k5_max,72,0.72,-0.004955982600801868,-0.004955982600801868,0.02355592163197522
h0.01_k5_max,73,0.73,0.004513759875813982,-0.004513759875813982,0.02362019805960746
h0.01_k5_max,74,0.74,-0.0075557463938732096,-0.0075557463938732096,0.023149937461092708
h0.01_k5_max,75,0.75,0.007225957919678736,-0.007225957919678736,0.023128228486663818
h0.01_k5_max,76,0.76,-0.010094820887501712,-0.010094820887501712,0.022544161840963778
h0.01_k5_max,77,0.77,0.009913875935292032,-0.009913875935292032,0.02242750688758102
h0.01_k5_max,78,0.78,-0.012650025870016453,-0.012650025870016453,0.02172808561236344
h0.01_k5_max,79,0.79,0.012657446041131358,-0.012657446041131358,0.021524364464829002
h0.01_k5_max,80,0.8,-0.015315767660192773,-0.015315767660192773,0.02070502348175007
h0.01_k5_max,81,0.81,0.01551379960259571,-0.01551379960259571,0.02037543822753165
h0.01_k5_max,82,0.8200000000000001,-0.01812309972853061,-0.01812309972853061,0.019418391352805448
h0.01_k5_max,83,0.8300000000000001,0.0184572399014863,-0.0184572399014863,0.018913665424488725
h0.01_k5_max,84,0.84,-0.02099634989435692,-0.02099634989435692,0.017812769194683917
h0.01_k5_max,85,0.85,0.021400368237503305,-0.021400368237503305,0.01704402380822747
h0.01_k5_max,86,0.86,-0.02381562634193641,-0.02381562634193641,0.01581964372935134
h0.01_k5_max,87,0.87,0.02422607186567967,-0.02422607186567967,0.01750943145779671
h0.01_k5_max,88,0.88,-0.026455790232366546,-0.026455790232366546,0.019812462258039246
h0.01_k5_max,89,0.89,0.026820320244341538,-0.026820320244341538,0.021296355122519615
h0.01_k5_max,90,0.9,-0.028817927104334375,-0.028817927104334375,0.023491648618269224
h0.01_k5_max,91,0.91,0.029060678634552767,-0.029060678634552767,0.024900608221393603
h0.01_k5_max,92,0.92,-0.03080930304235893,-0.03080930304235893,0.027029278613606413
h0.01_k5_max,93,0.93,0.03081296156332341,-0.03081296156332341,0.028522518266523824
h0.01_k5_max,94,0.9400000000000001,-0.03236067120831961,-0.03236067120831961,0.03060133171415643
h0.01_k5_max,95,0.9500000000000001,0.03192492816709487,-0.03192492816709487,0.03230068506043556
h0.01_k5_max,96,0.96,-0.03332251445516442,-0.03332251445516442,0.03425260948676893
h0.01_k5_max,97,0.97,0.03211252923455181,-0.03211252923455181,0.036020447620220546
h0.01_k5_max,98,0.98,-0.033277890188941193,-0.033277890188941193,0.03759435097343953
h0.01_k5_max,99,0.99,0.030940499543958812,-0.030940499543958812,0.039123138730168455
h0.01_k5_max,100,1.0,-0.03169913924257247,-0.03169913924257247,0.04010270555931348
h0.01_k5_max,101,1.01,0.02801945025705495,-0.02801945025705495,0.04149496440066944
h0.01_k5_max,102,1.02,-0.028206608725349542,-0.028206608725349542,0.04144260453284587
h0.01_k5_max,103,1.03,0.023189610156929386,-0.023189610156929386,0.04402645244715737
h0.01_k5_max,104,1.04,-0.0227433718504998,-0.0227433718504998,0.04273925379212329
h0.01_k5_max,105,1.05,0.01654363273445938,-0.01654363273445938,0.045290353248229095
h0.01_k5_max,106,1.06,-0.015501249372070326,-0.015501249372070326,0.04355301942912339
h0.01_k5_max,107,1.07,0.008310557150685122,-0.008310557150685122,0.04538411915370623
h0.01_k5_max,108,1.08,-0.00676169998021953,-0.00676169998021953,0.04334295188292433
